decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,ITUB4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,WEGE3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBAS3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.52,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,ITUB4.SA,0.11970430829033989,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,BBDC4.SA,0.10372916072070314,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,WEGE3.SA,0.12864584490261977,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,BBAS3.SA,0.11847025681728997,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,TITULO_CDI,0.5294504292690472,0.52,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,ITUB4.SA,0.1285337648728529,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,BBDC4.SA,0.12995572002960792,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,WEGE3.SA,0.13797286936246847,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,ABEV3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBAS3.SA,0.1092881242367114,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,TITULO_CDI,0.4942495214983595,0.52,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,ITUB4.SA,0.1031804987882288,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,BBDC4.SA,0.08219800888939599,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,WEGE3.SA,0.1139557822091126,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ABEV3.SA,0.13928214111592815,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,BBAS3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,TITULO_CDI,0.5613835689973344,0.52,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,ITUB4.SA,0.14758836815660487,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,BBDC4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,WEGE3.SA,0.10205360995537133,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,ABEV3.SA,0.0928230815053554,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2017,2017-01-02,BBAS3.SA,0.19399052441363485,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,TITULO_CDI,0.46354441596903345,0.52,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,ITUB4.SA,0.13225742895131176,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,BBDC4.SA,0.13488359626917193,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,RENT3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,ABEV3.SA,0.13465675504737395,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,BBAS3.SA,0.11963315759890501,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,TITULO_CDI,0.47856906213323736,0.52,defensive_residual_adjustment,increased,triple_factor
