decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax,selected_configuration,switching_cost,gross_of_switch_return
2015,2015-01-02,2016-01-04,0.0205851488511177,962.9551453578108,0.0007778448519407,0.0198073039991769,1237978.4258456535,1262499.4408708008,0.7716417161135352,BBSE3.SA:11.00% | CIEL3.SA:11.00% | ITUB3.SA:6.92% | ITUB4.SA:4.08% | VLID3.SA:11.00% | WEGE3.SA:11.00% | TITULO_CDI:45.00%,170,low_volatility,0.5499999998686043,-0.0104640540867513,1.6878066500083215,-0.0350997284252658,0.1995413189104608,-0.0385024704250802,0.4500000001313957,0.1313058205754336,30,170,-0.1064066622691293,-0.1085484010921044,0.5499999927738071,0.0056871832806128,0.0141201207185641,0.7722308735757282,0.0035408051303113,-0.0140048592170627,0.1083273019747327,eq55_n8_low_volatility,0.0,0.0198073039991769
2016,2016-01-04,2017-01-02,0.5144544110026406,2470.642105318774,0.0018968310382271,0.5089320228424069,1302510.374205286,1970121.9394864896,1.4999999983717314,ABEV3.SA:13.74% | ENBR3.SA:24.00% | SANB3.SA:24.00% | SANB4.SA:13.26% | TITULO_CDI:25.00%,179,value_quality,0.7499999993722354,0.2385812234956409,1.5444617471514563,0.1461848653850581,0.673297648655599,0.479750583266057,0.2500000006277646,0.1388153105977607,27,179,0.4291782349730666,0.417031723617655,0.5651810915090104,0.0441043345123071,0.4684532454521062,0.8954845644246727,0.0342826716909068,0.204298551804734,0.1145226312431526,eq75_n5_value_quality,0.0036255571220065,0.5125575799644134
2017,2017-01-02,2018-01-02,0.2679002866778908,2972.2404045563867,0.0015086580911611,0.2663916285867296,1970121.9394864896,2494945.9314607424,1.1303621830180208,BRSR6.SA:1.63% | CVCB3.SA:1.37% | FLRY3.SA:24.00% | SANB3.SA:24.00% | SAPR4.SA:24.00% | TITULO_CDI:25.00%,184,value_quality,0.7499999999528947,0.21639719298651,1.7909691288493454,0.217693798930989,8.568825923847582e-11,0.2432259173823057,0.2500000000471053,0.0986974771637441,33,184,0.2821493899880851,0.2809300421072935,0.4628686398859114,0.0188859209918434,0.2475057075948862,0.7661765797553648,0.0250187835459685,0.1913784094405415,0.0814254186600888,eq75_n5_value_quality,0.0,0.2663916285867296
2018,2018-01-02,2019-01-02,-0.0042202193413205,18052.70968421093,0.0066744062642571,-0.0145201827275841,2704766.382144924,2675298.965060902,1.2548148980767035,BPAC3.SA:22.07% | BRSR3.SA:21.14% | GRND3.SA:20.56% | QUAL3.SA:7.32% | SAPR3.SA:23.48% | SEER3.SA:0.43% | TITULO_CDI:5.00%,169,value_quality,0.9499999999216376,-0.1615651922142904,1.5323531595107296,-0.1586122974988979,3.708808571192625e-10,-0.0074037380059517,0.0500000000783623,0.0636703731928327,34,169,0.128333183551373,0.1264980052332973,0.8249999985844296,0.0004596205064174,-0.0113542461119951,0.6378126348476829,2.635742505233394e-12,-0.1615651922169261,0.052528057884087,eq95_n5_value_quality,0.0036255571220065,-0.0108946256055776
2019,2019-01-02,2020-01-02,0.4837054495099517,2158.8505613139264,0.0011144877266286,0.4789654046613166,3727080.1328617744,5525735.3188230535,0.988679096333349,BRSR6.SA:25.00% | CMIG3.SA:8.41% | CSNA3.SA:25.00% | IRBR3.SA:11.59% | MGLU3.SA:25.00% | TITULO_CDI:5.00%,182,triple_factor,0.9499999999999998,0.4517019194845169,1.078097898121066,0.4532796152458298,4.028602712637851e-12,0.4807476090068777,0.0500000000000001,0.0591568100614803,48,182,0.2741616490133169,0.265415260819831,0.6551081173953419,0.0475803475934379,0.4350106141898852,0.7948753379013129,0.054045118099879,0.3976568013846378,0.0488043683007212,eq95_n5_triple_factor,0.0036255571220065,0.4825909617833231
2020,2020-01-02,2021-01-04,0.0194662856327905,4481.369184585618,0.0016242816797588,0.0178420039530316,5525735.3188230535,5624325.510224901,1.3102162347906838,AZUL4.SA:25.00% | BBSE3.SA:24.76% | CMIG3.SA:9.60% | EQTL3.SA:10.64% | MRFG3.SA:25.00% | TITULO_CDI:5.00%,235,triple_factor,0.95,-0.1734904735469789,1.589750675802626,-0.1715743297958545,7.443603056821579e-11,0.0180999929144306,0.05,0.0273258543671959,67,235,0.0061818457827667,0.0035889676976212,0.2582026018669427,0.0007627563482305,0.0170792476048011,0.9361734096999756,3.33235533890783e-13,-0.1734904735473121,0.0225438298529366,eq95_n5_triple_factor,0.0,0.0178420039530316
2021,2021-01-04,2022-01-03,0.219516366953939,2561.6901953240103,0.000704705274407,0.218811661679532,5624325.510224901,6854993.520943794,0.5164052037338855,BBSE3.SA:25.00% | CSMG3.SA:7.19% | EQTL3.SA:12.81% | MRFG3.SA:25.00% | TASA4.SA:25.00% | TITULO_CDI:5.00%,259,triple_factor,0.9499999999999998,0.0587262237781151,1.8723468193999515,0.0341518363824014,0.5909730268371348,0.2173265919186248,0.0500000000000001,0.0437955007062884,72,259,-0.1158589045024376,-0.1164869288519651,0.856065074030163,0.0282349089872813,0.1905767526922507,0.9222892138330516,0.0089020446816008,0.0498241790965142,0.0361312880826879,eq95_n5_triple_factor,0.0,0.218811661679532
2022,2022-01-03,2023-01-02,0.0222352103211536,5086.909576873893,0.0013106571207113,0.0172989960784357,5909181.336602023,6032828.315850813,1.4291449833225487,FHER3.SA:24.00% | GOAU4.SA:20.23% | TASA4.SA:6.92% | UNIP6.SA:15.08% | USIM5.SA:8.77% | TITULO_CDI:25.00%,267,triple_factor,0.75,-0.0315777492374917,1.8445784276661032,-0.0303512580160778,3.583324222558697e-11,-0.0085020785439826,0.25,0.1229491554605446,90,267,0.0587844729701121,0.060242135741839,0.4678121460445626,0.0025163734868284,0.0184081797136138,0.9470707156059052,7.301836630185135e-13,-0.0315777492382219,0.1014330532549493,eq75_n5_triple_factor,0.0036255571220065,0.0209245532004422
2023,2023-01-02,2024-01-02,0.2201046196009339,1969.208313248681,0.0008287439151873,0.21565031856374012,4820618.902641841,5877664.333865894,0.6922141599383953,BRAP4.SA:5.74% | CURY3.SA:3.53% | KEPL3.SA:13.65% | UNIP6.SA:14.47% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,299,triple_factor,0.55,0.1097559677821043,1.89414143121181,0.1117125878087699,1.0068514765925552e-10,0.1619076604672769,0.4499999999999999,0.1293265758525708,90,299,0.2614217492667519,0.2704862406620203,0.3601631138659856,0.0124150447262418,0.2068608309595048,0.9999999985648678,0.0167568881495458,0.0929990796325584,0.1066944250783709,eq55_n5_triple_factor,0.0036255571220065,0.2192758756857466
2024,2024-01-02,2025-01-02,-0.0301815574092889,2094.3534591159737,0.0006502266854498,-0.0308317840947387,5877664.333865894,5696445.456142794,0.7203262277319713,BBSE3.SA:7.30% | CMIN3.SA:8.47% | CURY3.SA:17.60% | PLPL3.SA:4.03% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,313,triple_factor,0.55,0.0293839380455343,1.9999999971297355,0.0312656547366956,6.95149503069746e-11,-0.0786784639998933,0.4499999999999999,0.1077709035346763,90,313,-0.0935514744116294,-0.0892357747278369,0.1515772353907523,0.0012864297295512,-0.03211821382429,0.9999999799953176,0.0046898481179964,0.0246940899275378,0.0889109954161079,eq55_n5_triple_factor,0.0,-0.0308317840947387
